Area,Player Direction,Pass Direction,Offensive Action,Footwork,Make/Miss,Off Dribble Hand,Defender Distance,PTS,Year,Date
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/23/2024
Left Corner,Stationary,Right,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/23/2024
Right Wing,Left,Left,Pin Down,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/23/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/23/2024
Right Wing,Away From Hoop,Off the Dribble,DHO,1-2 Right/Left,Miss,Right,Open,0,2024-2025,10/25/2024
Top,To Hoop,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/25/2024
Left Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,10/25/2024
Top,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/25/2024
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/25/2024
Top,To Hoop,Right,Iso,1-2 Left/Right,Miss,Catch & Shoot,Open,0,2024-2025,10/27/2024
Left Wing,Left,Off the Dribble,Iso,Hop  ,Miss,Right to LeftPickup,Open,0,2024-2025,10/27/2024
Left Wing,Right,Off the Dribble,PnR,Hop  ,Miss,Right,Close,0,2024-2025,10/27/2024
Right Wing,Right,Left,Flare,1-2 Left/Right,Miss,Catch & Shoot,Close,0,2024-2025,10/27/2024
Left Corner,Stationary,Off the Dribble,Spot Up,1-2 Right/Left,Miss,Right,Wide Open,0,2024-2025,10/27/2024
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Right to LeftPickup,Close,0,2024-2025,10/29/2024
Left Corner,Away From Hoop,From Hoop,DHO,1-2 Right/Left,Make ,Catch & Shoot,Tight,3,2024-2025,10/29/2024
Right Corner,Stationary,Left,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/29/2024
Top,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,10/29/2024
Right Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/29/2024
Left Corner,Away From Hoop,Right,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,10/29/2024
Right Wing,Left,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/29/2024
Left Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,10/29/2024
Left Corner,Stationary,Right,Spot Up,1-2 Left/Right,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/30/2024
Top,Left,Off the Dribble,PnR,1-2 Right/Left,Make ,Left,Wide Open,3,2024-2025,10/30/2024
Right Wing,Right,Off the Dribble,Post Kick Out,1-2 Left/Right,Miss,Right,Open,0,2024-2025,10/30/2024
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Make ,Left,Close,3,2024-2025,10/30/2024
Top,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,10/30/2024
Left Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Open,0,2024-2025,10/30/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,10/30/2024
Top,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/2/2024
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,11/2/2024
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/2/2024
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/4/2024
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right to LeftPickup,Close,0,2024-2025,11/8/2024
Top,Right,Off the Dribble,PnR,1-2 Left/Right,Miss,Right,Close,0,2024-2025,11/8/2024
Left Wing,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,11/8/2024
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/8/2024
Right Corner,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Make ,Right to LeftPickup,Close,3,2024-2025,11/8/2024
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/8/2024
Left Wing,To Hoop,From Hoop,Spot Up,Hop  ,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/10/2024
Right Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Wide Open,3,2024-2025,11/12/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,11/15/2024
Left Wing,Stationary,Right,Drive Kick,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,11/15/2024
Top,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,11/15/2024
Left Wing,Left,Right,Flare,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/15/2024
Right Wing,To Hoop,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/18/2024
Left Wing,Left,Left,Iso,1-2 Left/Right,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/18/2024
Left Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,11/20/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/22/2024
Left Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/22/2024
Right Wing,Away From Hoop,From Hoop,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/22/2024
Right Wing,Right,Left,PnPop,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,11/22/2024
Right Corner,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/22/2024
Top,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left,Close,0,2024-2025,11/23/2024
Right Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/25/2024
Left Wing,To Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/25/2024
Left Wing,Right,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Right,Open,3,2024-2025,11/25/2024
Left Wing,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/27/2024
Right Wing,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,11/27/2024
Top,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/27/2024
Right Wing,Right,Left,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,11/27/2024
Left Wing,Left,Left,Pin Down,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,11/30/2024
Top,Stationary,Left,PnPop,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,11/30/2024
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Open,0,2024-2025,11/30/2024
Right Wing,To Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,11/30/2024
Right Wing,Right,Left,PnPop,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,12/3/2024
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left,Close,0,2024-2025,12/3/2024
Top,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,12/3/2024
Right Wing,Right,Off the Dribble,PnR,Hop  ,Make ,Right,Open,3,2024-2025,12/5/2024
Top,Away From Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,12/5/2024
Top,To Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,12/5/2024
Left Wing,Left,Right,Flare,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,12/6/2024
Top,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,12/6/2024
Left Corner,Away From Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,12/6/2024
Right Wing,Right,From Hoop,Post Kick Out,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,12/6/2024
Right Wing,Left,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/6/2024
Right Corner,Right,Off the Dribble,Post Kick Out,1-2 Right/Left,Miss,Right,Open,0,2024-2025,12/8/2024
Top,Away From Hoop,From Hoop,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/8/2024
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,12/8/2024
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,12/8/2024
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,12/11/2024
Left Corner,Stationary,Right,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,12/11/2024
Right Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/11/2024
Right Wing,Stationary,Left,Iso,1-2 Right/Left,Make ,Catch & Shoot,Tight,3,2024-2025,12/11/2024
Right Corner,Right,Left,Spot Up,Hop  ,Miss,Catch & Shoot,Tight,0,2024-2025,12/11/2024
Top,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/15/2024
Top,Right,Off the Dribble,PnR,1-2 Left/Right,Miss,Right,Open,0,2024-2025,12/15/2024
Right Corner,Stationary,Left,Iso,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,12/15/2024
Right Wing,Away From Hoop,Off the Dribble,Pin Down,1-2 Right/Left,Miss,Right,Open,0,2024-2025,12/19/2024
Right Corner,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,12/19/2024
Right Wing,Right,From Hoop,DHO,1-2 Left/Right,Miss,Catch & Shoot,Close,0,2024-2025,12/19/2024
Right Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/19/2024
Left Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,12/19/2024
Left Wing,Right,Off the Dribble,Spot Up,Hop  ,Miss,Right,Open,0,2024-2025,12/21/2024
Left Wing,Right,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Right,Wide Open,3,2024-2025,12/21/2024
Left Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/21/2024
Top,To Hoop,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Left,Open,3,2024-2025,12/23/2024
Left Corner,Left,Right,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/25/2024
Right Corner,Away From Hoop,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,12/25/2024
Right Wing,Left,From Hoop,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,12/25/2024
Left Wing,To Hoop,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/27/2024
Right Wing,Right,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Right,Open,3,2024-2025,12/27/2024
Left Wing,Right,Off the Dribble,PnR,1-2 Left/Right,Miss,Right,Open,0,2024-2025,12/27/2024
Right Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,12/27/2024
Left Corner,Right,Off the Dribble,Spot Up,1-2 Right/Left,Miss,Right,Open,0,2024-2025,12/27/2024
Right Wing,Left,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/23/2025
Top,Left,From Hoop,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,1/23/2025
Right Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,1/23/2025
Left Corner,Stationary,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Right,Tight,3,2024-2025,1/23/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/25/2025
Top,To Hoop,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,1/25/2025
Left Corner,Away From Hoop,Right,Pin Down,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/25/2025
Right Wing,Right,Off the Dribble,Iso,1-2 Left/Right,Miss,Left,Tight,0,2024-2025,1/25/2025
Left Wing,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,1/25/2025
Right Corner,Left,Left,Lift,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/25/2025
Left Wing,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/28/2025
Right Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Open,0,2024-2025,1/28/2025
Left Corner,Left,From Hoop,Post Kick Out,1-2 Left/Right,Make ,Catch & Shoot,Open,3,2024-2025,1/28/2025
Left Wing,Stationary,Right,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,1/28/2025
Top,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/28/2025
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,1/28/2025
Right Wing,Right,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,1/28/2025
Left Wing,Right,Right,Lift,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,1/28/2025
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/28/2025
Right Corner,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,1/28/2025
Right Wing,Right,Off the Dribble,Iso,1-2 Right/Left,Miss,Left to RightPickUp,Close,0,2024-2025,1/28/2025
Left Wing,Stationary,Right,Post Kick Out,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,1/29/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,1/29/2025
Right Wing,Stationary,Off the Dribble,Iso,1-2 Right/Left,Make ,Right,Tight,3,2024-2025,1/29/2025
Left Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,1/31/2025
Top,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,1/31/2025
Right Wing,Stationary,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,1/31/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,1/31/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,1/31/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,1/31/2025
Right Wing,To Hoop,From Hoop,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,1/31/2025
Right Wing,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left,Tight,0,2024-2025,2/3/2025
Left Corner,Left,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/3/2025
Right Wing,Right,Left,Flare,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,2/3/2025
Right Wing,To Hoop,Left,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/3/2025
Top,Stationary,Off the Dribble,Iso,1-2 Right/Left,Miss,Left to RightPickUp,Close,0,2024-2025,2/5/2025
Right Wing,Left,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Left,Open,3,2024-2025,2/5/2025
Left Wing,To Hoop,Off the Dribble,PnR,1-2 Right/Left,Miss,Left to RightPickUp,Tight,0,2024-2025,2/5/2025
Right Wing,Stationary,Left,Flare,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/5/2025
Right Wing,To Hoop,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,2/5/2025
Right Corner,Right,Left,Flare,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/5/2025
Top,Left,Off the Dribble,PnR,1-2 Right/Left,Miss,Left,Wide Open,0,2024-2025,2/5/2025
Left Wing,Away From Hoop,Right,Flare,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/5/2025
Top,Right,Off the Dribble,Spot Up,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,2/5/2025
Left Wing,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/5/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/6/2025
Right Wing,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/6/2025
Right Wing,Right,Left,Flare,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/6/2025
Left Corner,Stationary,Off the Dribble,Spot Up,1-2 Right/Left,Make ,Left,Wide Open,3,2024-2025,2/8/2025
Left Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,2/8/2025
Left Corner,Stationary,Right,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/8/2025
Right Wing,Left,Right,Flare,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,2/8/2025
Top,Right,Left,Flare,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/8/2025
Top,Right,From Hoop,Drive Kick,Hop  ,Make ,Catch & Shoot,Open,3,2024-2025,2/10/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/10/2025
Right Wing,Stationary,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/10/2025
Left Corner,Left,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/10/2025
Right Wing,Away From Hoop,Left,Flare,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/10/2025
Right Wing,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,2/12/2025
Left Wing,Right,From Hoop,DHO,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/12/2025
Top,Left,Off the Dribble,Spot Up,1-2 Right/Left,Miss,Left,Open,0,2024-2025,2/13/2025
Left Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Open,0,2024-2025,2/13/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,2/13/2025
Top,Away From Hoop,Off the Dribble,PnR,1-2 Right/Left,Make ,Right,Open,3,2024-2025,2/13/2025
Right Corner,Right,From Hoop,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/13/2025
Right Corner,Right,From Hoop,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/13/2025
Right Wing,Away From Hoop,Right,Pin Down,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/13/2025
Right Wing,Right,From Hoop,DHO,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,2/21/2025
Left Wing,Stationary,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,Right,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Top,Right,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,2/21/2025
Right Wing,Left,Left,Drive Kick,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Right Wing,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Miss,Catch & Shoot,Tight,0,2024-2025,2/21/2025
Left Corner,Stationary,Right,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/21/2025
Left Wing,Stationary,From Hoop,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,2/21/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/21/2025
Right Wing,To Hoop,Off the Dribble,Iso,1-2 Right/Left,Make ,Right,Open,3,2024-2025,2/23/2025
Right Wing,Right,Off the Dribble,Iso,1-2 Left/Right,Miss,Left,Tight,0,2024-2025,2/23/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Wide Open,0,2024-2025,2/23/2025
Right Corner,Right,Left,Spot Up,1-2 Right/Left,Make ,Catch & Shoot,Open,3,2024-2025,2/23/2025
Left Wing,Away From Hoop,Right,Flare,Hop  ,Make ,Catch & Shoot,Open,3,2024-2025,2/23/2025
Right Wing,To Hoop,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/25/2025
Right Wing,Right,Right,Post Kick Out,1-2 Right/Left,Make ,Catch & Shoot,Close,3,2024-2025,2/27/2025
Top,Stationary,From Hoop,Drive Kick,1-2 Right/Left,Make ,Catch & Shoot,Wide Open,3,2024-2025,2/27/2025
Top,Right,Off the Dribble,PnR,1-2 Right/Left,Miss,Right,Close,0,2024-2025,2/27/2025
Left Wing,Left,Off the Dribble,Iso,1-2 Right/Left,Miss,Left,Tight,0,2024-2025,2/27/2025
Top,Left,From Hoop,Post Kick Out,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,Hop  ,Miss,Catch & Shoot,Open,0,2024-2025,2/27/2025
Right Corner,Stationary,Left,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Close,0,2024-2025,3/1/2025
Right Wing,Away From Hoop,Off the Dribble,Iso,1-2 Right/Left,Miss,Right,Tight,0,2024-2025,3/1/2025
Left Wing,Right,Right,Spot Up,1-2 Right/Left,Miss,Catch & Shoot,Open,0,2024-2025,3/1/2025