Area;Player Direction;Pass Direction;Offensive Action;Footwork;Make/Miss;Off Dribble Hand;Defender Distance;PTS;Year
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Away From Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Stationary;Off the Dribble;Spot Up;1-2 Left/Right;Make ;Left;Open;3;2024-2025
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;From Hoop;Post Kick Out;Hop  ;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Left;Off the Dribble;Iso;1-2 Left/Right;Make ;Right to LeftPickup;Open;3;2024-2025
Left Wing;Right;Right;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Top;Left;Off the Dribble;Iso;1-2 Right/Left;Make ;Left;Open;3;2024-2025
Top;Right;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Right;From Hoop;Drive Kick;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Right;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Left;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Top;Right;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Left;Left;Spot Up;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Left;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Corner;Left;From Hoop;DHO;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Top;Left;Off the Dribble;PnR;1-2 Right/Left;Make ;Left;Open;3;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Miss;Left;Close;0;2024-2025
Top;Left;Right;Flare;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Left;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Top;Right;Off the Dribble;DHO;1-2 Left/Right;Make ;Left to RightPickUp;Open;3;2024-2025
Left Corner;;;Spot Up;;Miss;;Wide Open;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Away From Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Wing;Away From Hoop;Off the Dribble;Spot Up;Hop  ;Miss;Left to RightPickUp;Wide Open;0;2024-2025
Top;Left;Off the Dribble;PnR;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Right Wing;Right;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Left;From Hoop;DHO;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Right;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Away From Hoop;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;To Hoop;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Top;Right;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Right;Wide Open;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;From Hoop;Drive Kick;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;Away From Hoop;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;Off the Dribble;Flare;1-2 Left/Right;Make ;Right;Open;3;2024-2025
Right Corner;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Right;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Away From Hoop;Left;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Away From Hoop;Left;Flare;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Left;From Hoop;DHO;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Left;Right;Spot Up;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Left;Left;Lift;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Top;Right;Off the Dribble;PnR;1-2 Left/Right;Miss;Right;Wide Open;0;2024-2025
Left Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Right;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Right;Right;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Stationary;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Wide Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Top;Away From Hoop;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Right;Right;Lift;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Left;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Top;Right;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Left;Left;Post Kick Out;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Top;To Hoop;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Left;From Hoop;DHO;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Away From Hoop;Left;Flare;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Left;Off the Dribble;Spot Up;1-2 Left/Right;Make ;Left;Open;3;2024-2025
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Right;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Right;Wide Open;0;2024-2025
Right Wing;To Hoop;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Right Wing;Left;Left;Lift;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Corner;Left;From Hoop;DHO;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;From Hoop;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;To Hoop;Right;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Top;Away From Hoop;Left;Flare;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Right;Left;Flare;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Make ;Catch & Shoot;Tight;3;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Away From Hoop;Right;Flare;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Right;From Hoop;Spot Up;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Right Corner;Right;Left;Drive Kick;1-2 Right/Left;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Wing;Right;Left;Spot Up;;Miss;Catch & Shoot;Tight;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;Left;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Left;Off the Dribble;Iso;1-2 Left/Right;Make ;Right to LeftPickup;Open;3;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;Right;Spot Up;Hop  ;Make ;Catch & Shoot;Open;3;2024-2025
Top;Left;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Tight;3;2024-2025
Right Wing;Left;Left;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;To Hoop;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Away From Hoop;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Right;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Left;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Away From Hoop;Right;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Left Wing;Left;From Hoop;Post Kick Out;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Off the Dribble;Iso;1-2 Left/Right;Miss;Right to LeftPickup;Tight;0;2024-2025
Left Corner;Away From Hoop;From Hoop;Spot Up;Hop  ;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Right;Off the Dribble;PnR;1-2 Left/Right;Miss;Right;Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Wing;Left;Off the Dribble;Spot Up;1-2 Left/Right;Miss;Left;Close;0;2024-2025
Right Wing;Left;Left;Spot Up;1-2 Right/Left;Miss;Catch & Shoot;Tight;0;2024-2025
Top;Away From Hoop;Left;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Away From Hoop;Right;Pin Down;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Right;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Away From Hoop;Left;Pin Down;1-2 Right/Left;Make ;Catch & Shoot;Tight;3;2024-2025
Right Corner;Right;Left;Post Kick Out;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Open;0;2024-2025
Top;Left;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Corner;Left;Off the Dribble;DHO;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Wing;Stationary;Left;Spot Up;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;Left;From Hoop;DHO;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Wing;To Hoop;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;To Hoop;Left;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Right;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Corner;Stationary;Left;Spot Up;Hop  ;Make ;Catch & Shoot;Close;3;2024-2025
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Right;Left;Drive Kick;Hop  ;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Right Wing;Left;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Left Wing;Stationary;From Hoop;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Close;0;2024-2025
Left Corner;Stationary;From Hoop;Post Kick Out;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Corner;Stationary;Right;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2024-2025
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2024-2025
Left Wing;Left;Left;Post Kick Out;1-2 Right/Left;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Drive Kick;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Close;3;2024-2025
Left Wing;Right;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Left Wing;Right;Right;Lift;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Corner;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2024-2025
Right Wing;Left;Left;Pin Down;1-2 Right/Left;Miss;Catch & Shoot;Open;0;2024-2025
Right Corner;Away From Hoop;Left;Flare;1-2 Left/Right;Make ;Catch & Shoot;Tight;3;2024-2025
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2024-2025
Left Wing;To Hoop;Off the Dribble;Spot Up;1-2 Left/Right;Make ;Left;Wide Open;3;2024-2025
Left Corner;Right;From Hoop;Drive Kick;1-2 Right/Left;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Wing;Away From Hoop;Right;Pin Down;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2024-2025
Right Corner;Right;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Right Wing;To Hoop;From Hoop;Post Kick Out;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2024-2025
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2023-2024
Left Wing;Left;Off the Dribble;PnR;1-2 Right/Left;Miss;Left;Open;0;2023-2024
Left Wing;Right;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2023-2024
Right Corner;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Open;0;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Open;3;2023-2024
Right Wing;Stationary;From Hoop;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2023-2024
Top;Right;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2023-2024
Top;Right;Off the Dribble;PnR;1-2 Left/Right;Miss;Right to LeftPickup;Tight;0;2023-2024
Right Wing;Stationary;Left;Drive Kick;Hop  ;Make ;Catch & Shoot;Open;3;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2023-2024
Top;To Hoop;Left;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2023-2024
Right Corner;Right;Left;Flare;1-2 Left/Right;Miss;Catch & Shoot;Close;0;2023-2024
Left Wing;Left;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Tight;0;2023-2024
Right Wing;Stationary;Left;Spot Up;1-2 Left/Right;Make ;Catch & Shoot;Wide Open;3;2023-2024
Left Corner;Stationary;Right;Spot Up;1-2 Left/Right;Miss;Catch & Shoot;Wide Open;0;2023-2024
